"","id","faminc","incmiss","black","hisp","afqtpct","momcoll","dadcoll","female","f_dead","attend.college"
"1",9,5.349756,0,0,0,71.90166,0,0,0,0,1
"2",14,2.462706,0,0,0,95.15805,0,0,1,0,1
"4",21,9.487603,0,0,0,95.78525,0,1,1,0,1
"5",22,0.4388592,0,0,0,90.61716,0,0,1,0,1
"6",24,10.43636,0,0,0,81.76116,0,0,0,0,0
"7",26,6.269418,0,0,0,97.91771,1,1,0,0,1
"10",35,3.220462,0,0,0,61.91671,0,0,1,1,1
"11",38,9.471947,0,0,0,20.44656,0,0,1,0,0
"12",41,2.716748,0,0,0,57.17511,0,0,0,0,1
"14",43,5.599632,1,0,0,8.278976,0,0,1,0,0
"15",44,7.115702,0,0,0,50.92825,0,0,1,0,0
"16",46,7.766997,0,0,0,71.14902,0,0,1,0,1
"17",60,12.53884,0,0,0,74.91219,0,1,0,0,0
"18",61,5.433539,1,0,0,98.39438,0,1,1,0,1
"21",68,9.404126,0,0,0,98.72052,1,1,1,0,1
"23",71,5.177845,1,0,0,99.72404,1,1,0,0,1
"24",75,5.433539,1,0,0,73.28149,1,1,1,0,1
"29",87,5.177845,1,1,0,1.781234,0,0,0,0,0
"31",92,5.177845,1,0,0,42.90015,0,0,1,0,0
"34",106,2.609091,0,0,0,99.62368,0,0,0,1,1
"35",107,5.433539,1,0,0,76.04115,0,0,0,0,1
"36",109,3.76165,0,0,0,59.18214,0,0,1,0,0
"37",120,3.134709,0,0,0,97.36578,1,0,0,0,1
"39",122,3.76165,0,0,0,71.50025,0,0,0,0,0
"40",123,5.224514,0,0,0,93.57752,1,1,0,0,1
"41",129,10.67355,0,0,0,87.58154,1,1,0,0,1
"42",133,6.725083,0,0,0,63.77321,0,0,1,0,0
"44",137,9.487603,0,0,0,92.34822,1,1,1,0,1
"45",138,10.44903,0,0,0,86.77872,1,1,1,0,1
"46",139,9.471947,0,0,0,82.1124,1,1,0,0,1
"47",141,7.293423,0,0,0,80.00502,0,1,1,0,1
"49",145,5.224514,0,0,0,63.5725,0,0,0,0,0
"51",147,5.218182,0,0,0,40.69242,0,0,1,0,1
"52",148,5.683168,0,0,0,73.93377,0,0,0,0,0
"54",152,8.301653,0,0,0,94.50577,0,0,1,0,0
"55",157,12.53884,0,0,0,59.35775,0,1,1,0,1
"56",161,5.433539,1,0,0,36.60311,0,0,1,0,0
"57",162,5.692562,0,0,0,93.17612,1,1,0,0,1
"58",163,6.269418,0,0,0,74.03412,1,1,0,0,1
"59",165,4.743802,0,0,0,69.69393,0,0,1,0,0
"60",166,6.269418,0,0,0,72.60411,0,0,0,0,0
"61",171,5.433539,1,0,0,89.86452,1,0,0,0,1
"64",190,7.31432,0,0,0,68.23884,1,1,1,0,1
"65",191,6.251485,0,0,0,86.4275,1,1,0,0,1
"66",192,5.209571,0,0,0,79.95484,0,0,1,0,1
"69",197,3.134709,0,0,0,23.03061,0,0,1,0,0
"70",198,6.630363,0,0,0,79.65379,1,1,0,0,1
"71",210,5.642476,0,0,0,65.10286,0,0,0,0,1
"73",212,5.599632,1,0,0,72.30306,0,1,0,0,0
"74",213,5.177845,1,0,0,98.79578,0,1,0,0,1
"76",220,13.04545,0,0,0,92.19769,0,0,1,0,1
"78",232,6.878512,0,0,0,61.64075,0,1,0,0,1
"80",235,5.177845,1,0,0,69.41797,0,0,0,0,1
"81",236,6.269418,0,0,0,78.3994,0,0,1,0,1
"82",240,3.134709,0,0,0,57.25037,0,0,1,0,0
"83",245,8.798082,0,0,0,94.78174,1,0,1,0,1
"86",255,2.716748,0,0,0,68.06322,0,0,1,0,0
"87",256,4.269422,0,0,0,57.60161,0,0,1,0,0
"89",260,6.404132,0,0,0,97.69193,0,1,0,0,1
"90",261,8.145874,0,0,0,85.27345,0,0,0,0,1
"91",263,6.060437,0,0,0,36.52785,0,0,0,0,0
"92",265,7.31432,0,0,0,95.2584,0,0,1,0,1
"94",275,1.253883,0,0,0,66.40742,1,1,1,0,0
"95",276,4.269422,0,0,0,52.73457,0,1,1,0,0
"96",279,6.687379,0,0,0,58.50476,0,1,0,0,0
"97",281,5.929752,0,0,0,90.06523,1,1,0,0,1
"98",282,6.630363,0,0,0,90.24084,1,1,1,0,1
