id,state,chain,co_owned,hours_open,start_wage,employment_before,employment_after,employment_change
1,PA,wendys,yes,12,5,34,20,-14
2,PA,wendys,yes,12,5.5,24,35.5,11.5
3,PA,bk,no,18,5,70.5,29,-41.5
4,PA,bk,no,24,5,23.5,36.5,13
5,PA,kfc,yes,10,5.25,11,11,0
6,PA,kfc,yes,10,5,9,8.5,-0.5
7,PA,roys,yes,12.5,5,15.5,17.5,2
8,PA,bk,no,18,5,58,29,-29
9,PA,bk,no,18,5,26.5,30.5,4
10,PA,bk,no,18,5.5,28.5,26,-2.5
11,PA,bk,no,12.5,5,13.5,18,4.5
12,PA,kfc,yes,10,5.25,16.75,20,3.25
13,PA,kfc,yes,10,5,9.5,13.5,4
14,PA,roys,yes,11.5,5,15,19,4
15,PA,roys,no,16,5,29.5,15.5,-14
16,PA,roys,no,14,5,18.5,14.5,-4
17,PA,roys,yes,16,5,20.25,14,-6.25
18,PA,roys,yes,16,5,36,19,-17
19,PA,roys,no,15,5,21,21,0
20,PA,roys,yes,16,5,20.5,18,-2.5
21,PA,wendys,yes,12,5,19,20.5,1.5
22,PA,roys,yes,16,5,14,13.5,-0.5
23,PA,roys,yes,16,5,19,17.5,-1.5
24,PA,bk,no,16.5,4.25,32.5,25.5,-7
25,PA,bk,no,17.5,4.25,19,15.5,-3.5
26,PA,bk,no,16.5,4.25,27,25.5,-1.5
27,PA,bk,no,16.5,4.25,19.5,27,7.5
28,PA,bk,no,16.5,4.5,24,16,-8
29,PA,bk,no,16,4.25,18,19,1
30,PA,bk,no,14,4.25,19,25,6
31,PA,kfc,no,12,4.5,14,17,3
32,PA,kfc,no,13,4.25,10.5,16.5,6
33,PA,wendys,yes,12,4.67,38,20,-18
34,PA,wendys,yes,12,4.75,23.5,18,-5.5
35,PA,wendys,no,10.5,4.25,10.5,12,1.5
36,PA,wendys,no,11.5,4.25,25,25,0
37,PA,kfc,yes,10,4.75,11,11,0
38,PA,bk,no,15,4.25,36.5,27,-9.5
39,PA,bk,no,16,4.5,52.5,34,-18.5
40,PA,bk,no,16,4.25,29,25,-4
41,PA,bk,no,16,4.25,45,37.5,-7.5
42,PA,bk,no,15.5,4.25,22.75,21,-1.75
43,PA,kfc,no,8,4.25,7.5,9.5,2
44,PA,wendys,no,11.5,4.25,15.5,18,2.5
45,PA,wendys,no,11.5,4.25,38,18,-20
46,PA,wendys,no,11.5,4.25,17.5,19,1.5
47,PA,wendys,no,12.5,4.25,25,31.5,6.5
48,PA,bk,no,18,4.75,21,24.5,3.5
49,PA,bk,no,18,4.87,15.5,27.5,12
50,PA,bk,no,16.5,4.75,15.5,34.5,19
51,PA,kfc,yes,10,4.5,8.5,14,5.5
52,PA,roys,yes,16,4.25,18,15,-3
53,PA,wendys,no,11.5,4.75,20.75,23,2.25
54,PA,bk,no,18,4.25,39,26.5,-12.5
55,PA,bk,no,16.5,4.25,41.5,23.5,-18
56,PA,bk,no,17,4.75,22.5,35.5,13
57,PA,bk,no,15,4.5,32,21,-11
58,PA,bk,no,18,4.25,24,23,-1
59,PA,bk,no,16.5,4.25,26,20,-6
60,PA,bk,no,19,4.5,48.5,27,-21.5
61,PA,kfc,yes,10,4.5,8.5,13,4.5
62,PA,roys,no,13,4.5,18.5,0,-18.5
63,PA,roys,yes,12.5,4.5,13,13.5,0.5
64,PA,wendys,yes,12,4.75,28,26.75,-1.25
65,PA,bk,no,16.5,4.25,24.5,43.5,19
66,PA,bk,no,16.5,4.75,18.5,41.25,22.75
67,PA,roys,yes,16,4.25,23.5,14.25,-9.25
68,PA,roys,yes,16.5,4.75,15,12.5,-2.5
69,PA,roys,no,16,4.5,18,34,16
70,PA,roys,yes,16,4.75,20.25,10,-10.25
71,PA,bk,no,16.5,4.25,15.5,14,-1.5
72,PA,bk,no,16,4.35,21,17.5,-3.5
73,NJ,roys,yes,7,5,5,8,3
74,NJ,kfc,no,11,5.12,16,15.5,-0.5
75,NJ,bk,no,16,5.56,41.5,24,-17.5
76,NJ,kfc,yes,10,5,13,7.5,-5.5
77,NJ,kfc,no,10,5,10,7.5,-2.5
78,NJ,kfc,no,11,5.25,15,18.5,3.5
79,NJ,roys,no,17,5,26,16.5,-9.5
80,NJ,wendys,no,13,5.5,18,33.5,15.5
81,NJ,roys,no,19,5,35,37,2
