Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Source,EID
"Van Overwalle F., Pu M., Ma Q., Li M., Haihambo N., Baetens K., Deroost N., Baeken C., Heleven E.","6701738504;57217085168;57217087826;57222522358;57222522122;26643668800;12786086800;12240786300;56674653400;","The Involvement of the Posterior Cerebellum in Reconstructing and Predicting Social Action Sequences",2022,"Cerebellum","21","5",,"733","741",,,"10.1007/s12311-021-01333-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117821472&doi=10.1007%2fs12311-021-01333-9&partnerID=40&md5=49c5c9559bd59c70bc85b787acf6676f","Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium","Van Overwalle, F., Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium; Pu, M., Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium; Ma, Q., Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium; Li, M., Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium; Haihambo, N., Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium; Baetens, K., Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium; Deroost, N., Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium; Baeken, C., Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium; Heleven, E., Department of Psychology and Center for Neuroscience, Vrije Universiteit Brussel, Brussel, Belgium","Action prediction; Action sequencing; Crus; False beliefs; Implicit learning; Social metallizing; Trait inferences","cerebellum; human; nuclear magnetic resonance imaging; physiology; Cerebellum; Humans; Magnetic Resonance Imaging; Mentalization",Article,Scopus,2-s2.0-85117821472
"Merchant J.S., Alkire D., Redcay E.","55395781800;56891564400;8615770000;","Neural similarity between mentalizing and live social interaction during the transition to adolescence",2022,"Human Brain Mapping","43","13",,"4074","4090",,,"10.1002/hbm.25903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129838915&doi=10.1002%2fhbm.25903&partnerID=40&md5=2db576ef9dcb1926bb2a14d69a3fdc65","Neuroscience and Cognitive Science Program, University of Maryland, College Park, MD, United States; Department of Psychology, University of Maryland, College Park, MD, United States","Merchant, J.S., Neuroscience and Cognitive Science Program, University of Maryland, College Park, MD, United States, Department of Psychology, University of Maryland, College Park, MD, United States; Alkire, D., Neuroscience and Cognitive Science Program, University of Maryland, College Park, MD, United States, Department of Psychology, University of Maryland, College Park, MD, United States; Redcay, E., Neuroscience and Cognitive Science Program, University of Maryland, College Park, MD, United States, Department of Psychology, University of Maryland, College Park, MD, United States","development; fMRI; mentalizing; social cognition; social interaction","adolescence; article; brain; cognition; conceptual model; decision making; functional magnetic resonance imaging; human; human experiment; mentalization; social cognition; social interaction; adolescent; brain mapping; child; diagnostic imaging; nuclear magnetic resonance imaging; physiology; social interaction; theory of mind; Adolescent; Brain; Brain Mapping; Child; Humans; Magnetic Resonance Imaging; Mentalization; Social Interaction; Theory of Mind",Article,Scopus,2-s2.0-85129838915
"Dang T.P., Mattan B.D., Barth D.M., Handley G., Cloutier J., Kubota J.T.","57200285305;56460292700;57216821673;57211031848;8599054100;17346261600;","Perceiving social injustice during arrests of Black and White civilians by White police officers: An fMRI investigation",2022,"NeuroImage","255",,"119153","","",,2,"10.1016/j.neuroimage.2022.119153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127695982&doi=10.1016%2fj.neuroimage.2022.119153&partnerID=40&md5=9972c79e5097d83326a1a20377cd8961","Department of Psychological and Brain Sciences, University of Delaware, 105 The Green, Newark, DE  19716, United States; Bold Insight, Downers Grove, IL, United States; Department of Political Science and International Relations, University of Delaware, Newark, DE, United States","Dang, T.P., Department of Psychological and Brain Sciences, University of Delaware, 105 The Green, Newark, DE  19716, United States; Mattan, B.D., Bold Insight, Downers Grove, IL, United States; Barth, D.M., Department of Psychological and Brain Sciences, University of Delaware, 105 The Green, Newark, DE  19716, United States; Handley, G., Department of Psychological and Brain Sciences, University of Delaware, 105 The Green, Newark, DE  19716, United States; Cloutier, J., Department of Psychological and Brain Sciences, University of Delaware, 105 The Green, Newark, DE  19716, United States; Kubota, J.T., Department of Psychological and Brain Sciences, University of Delaware, 105 The Green, Newark, DE  19716, United States, Department of Political Science and International Relations, University of Delaware, Newark, DE, United States","Interracial interactions; Mentalizing; Policing; Social cognition; Social neuroscience","adult; aggression; article; brain region; controlled study; female; functional magnetic resonance imaging; human; human experiment; major clinical study; male; mentalization; neuroimaging; neuroscience; perception; police; race; social cognition; videorecording; ancestry group; law enforcement; nuclear magnetic resonance imaging; Humans; Law Enforcement; Magnetic Resonance Imaging; Police; Racial Groups",Article,Scopus,2-s2.0-85127695982
"Bio B.J., Guterstam A., Pinsk M., Wilterson A.I., Graziano M.S.A.","57194630776;36995915400;6506593452;57211436926;7005346225;","Right temporoparietal junction encodes inferred visual knowledge of others",2022,"Neuropsychologia","171",,"108243","","",,,"10.1016/j.neuropsychologia.2022.108243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129370274&doi=10.1016%2fj.neuropsychologia.2022.108243&partnerID=40&md5=9875075ccc24ad8029dbf5bc1f630c0e","Department of Psychology, Princeton University, PrincetonNJ  08544, United States; Department of Clinical Neuroscience, Karolinska Institutet, Solna, Stockholm, 171 77, Sweden; Department of Neurology, Karolinska University Hospital, Stockholm, Sweden; Princeton Neuroscience Institute, Princeton University, PrincetonNJ  08544, United States","Bio, B.J., Department of Psychology, Princeton University, PrincetonNJ  08544, United States; Guterstam, A., Department of Psychology, Princeton University, PrincetonNJ  08544, United States, Department of Clinical Neuroscience, Karolinska Institutet, Solna, Stockholm, 171 77, Sweden, Department of Neurology, Karolinska University Hospital, Stockholm, Sweden; Pinsk, M., Princeton Neuroscience Institute, Princeton University, PrincetonNJ  08544, United States; Wilterson, A.I., Department of Psychology, Princeton University, PrincetonNJ  08544, United States; Graziano, M.S.A., Department of Psychology, Princeton University, PrincetonNJ  08544, United States, Princeton Neuroscience Institute, Princeton University, PrincetonNJ  08544, United States","False belief; fMRI; Mentalizing; Temporoparietal junction; Theory of mind","adult; art; article; brain cortex; brain function; functional magnetic resonance imaging; human; mentalization; reaction time; temporoparietal junction; theory of mind; brain mapping; diagnostic imaging; nuclear magnetic resonance imaging; parietal lobe; temporal lobe; Brain Mapping; Humans; Magnetic Resonance Imaging; Parietal Lobe; Reaction Time; Temporal Lobe; Theory of Mind",Article,Scopus,2-s2.0-85129370274
"Labek K., Dommes L., Bosch J.E., Schurz M., Viviani R., Buchheim A.","55935721300;57196373058;57196373434;26028426300;7005527113;6603617382;","A Short Functional Neuroimaging Assay Using Attachment Scenes to Recruit Neural Correlates of Social Cognition—A Replication Study",2022,"Brain Sciences","12","7","855","","",,,"10.3390/brainsci12070855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134729277&doi=10.3390%2fbrainsci12070855&partnerID=40&md5=4f2235a9e601957b2313190ff7be8d63","Institute of Psychology, Faculty of Psychology and Sport Science, University of Innsbruck, Innsbruck, 6020, Austria; Department of Psychiatry and Psychotherapy III, Ulm University Medical Center, Ulm, 89075, Germany","Labek, K., Institute of Psychology, Faculty of Psychology and Sport Science, University of Innsbruck, Innsbruck, 6020, Austria; Dommes, L., Department of Psychiatry and Psychotherapy III, Ulm University Medical Center, Ulm, 89075, Germany; Bosch, J.E., Department of Psychiatry and Psychotherapy III, Ulm University Medical Center, Ulm, 89075, Germany; Schurz, M., Institute of Psychology, Faculty of Psychology and Sport Science, University of Innsbruck, Innsbruck, 6020, Austria; Viviani, R., Institute of Psychology, Faculty of Psychology and Sport Science, University of Innsbruck, Innsbruck, 6020, Austria, Department of Psychiatry and Psychotherapy III, Ulm University Medical Center, Ulm, 89075, Germany; Buchheim, A., Institute of Psychology, Faculty of Psychology and Sport Science, University of Innsbruck, Innsbruck, 6020, Austria","adult attachment projective picture system; attachment theory; fMRI; mentalization; replication; social cognition","adult; article; clinical article; controlled study; external validity; female; functional magnetic resonance imaging; functional neuroimaging; human; human experiment; loneliness; male; mentalization; neuroimaging; replication study; social cognition; social interaction; theory of mind",Article,Scopus,2-s2.0-85134729277
"Hevia-Orozco J., Reyes-Aguilar A., Pasaye E.H., Barrios F.A.","57200080946;57190067707;35314401500;7004323179;","Participation of visual association areas in social processing emerges when rTPJ is inhibited",2022,"eNeurologicalSci","27",,"100407","","",,,"10.1016/j.ensci.2022.100407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131117747&doi=10.1016%2fj.ensci.2022.100407&partnerID=40&md5=97a3010502c7554f964e6b5c0c311a6b","Universidad Nacional Autónoma de México, Instituto de Neurobiología, Querétaro, Mexico; Universidad Anáhuac Mayab, Escuela de Psicología, Yucatán, Mérida, Mexico; Universidad Nacional Autónoma de México, Facultad de Psicología, Ciudad de México, Mexico","Hevia-Orozco, J., Universidad Nacional Autónoma de México, Instituto de Neurobiología, Querétaro, Mexico, Universidad Anáhuac Mayab, Escuela de Psicología, Yucatán, Mérida, Mexico; Reyes-Aguilar, A., Universidad Nacional Autónoma de México, Facultad de Psicología, Ciudad de México, Mexico; Pasaye, E.H., Universidad Nacional Autónoma de México, Instituto de Neurobiología, Querétaro, Mexico; Barrios, F.A., Universidad Nacional Autónoma de México, Instituto de Neurobiología, Querétaro, Mexico","Categorization; fMRI; theta burst stimulation; Transcranial magnetic stimulation; Visual association areas","adult; article; association cortex; controlled study; female; functional magnetic resonance imaging; human; human experiment; male; mentalization; temporoparietal junction; transcranial magnetic stimulation",Article,Scopus,2-s2.0-85131117747
"Isernia S., Pirastru A., Massaro D., Rovaris M., Marchetti A., Baglio F.","57202512316;57204362890;36495047000;7005618200;36927793400;8966898500;","Resting-state functional brain connectivity for human mentalizing: Biobehavioral mechanisms of theory of mind in multiple sclerosis",2022,"Social Cognitive and Affective Neuroscience","17","6",,"579","589",,1,"10.1093/scan/nsab120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127849265&doi=10.1093%2fscan%2fnsab120&partnerID=40&md5=e529fa77dc7a5dd2ad64b1a9f6546afd","IRCCS Fondazione Don Carlo Gnocchi ONLUS, Advanced Diagnostic and Rehabilitative Therapy Centre (CADiTeR), Via Capecelatro 66, Milan, 20148, Italy; Research Unit on Theory of Mind, Department of Psychology, Università Cattolica del Sacro Cuore, Milan, 20123, Italy","Isernia, S., IRCCS Fondazione Don Carlo Gnocchi ONLUS, Advanced Diagnostic and Rehabilitative Therapy Centre (CADiTeR), Via Capecelatro 66, Milan, 20148, Italy; Pirastru, A., IRCCS Fondazione Don Carlo Gnocchi ONLUS, Advanced Diagnostic and Rehabilitative Therapy Centre (CADiTeR), Via Capecelatro 66, Milan, 20148, Italy; Massaro, D., Research Unit on Theory of Mind, Department of Psychology, Università Cattolica del Sacro Cuore, Milan, 20123, Italy; Rovaris, M., IRCCS Fondazione Don Carlo Gnocchi ONLUS, Advanced Diagnostic and Rehabilitative Therapy Centre (CADiTeR), Via Capecelatro 66, Milan, 20148, Italy; Marchetti, A., Research Unit on Theory of Mind, Department of Psychology, Università Cattolica del Sacro Cuore, Milan, 20123, Italy; Baglio, F., IRCCS Fondazione Don Carlo Gnocchi ONLUS, Advanced Diagnostic and Rehabilitative Therapy Centre (CADiTeR), Via Capecelatro 66, Milan, 20148, Italy","brain connectivity; mentalizing; multiple sclerosis; resting-state functional MRI; social cognition; theory of mind","adult; aged; brain; brain mapping; diagnostic imaging; female; human; middle aged; multiple sclerosis; neuropsychological test; nuclear magnetic resonance imaging; theory of mind; Adult; Aged; Brain; Brain Mapping; Female; Humans; Magnetic Resonance Imaging; Mentalization; Middle Aged; Multiple Sclerosis; Neuropsychological Tests; Theory of Mind",Article,Scopus,2-s2.0-85127849265
"Kobayashi K., Kable J.W., Hsu M., Jenkins A.C.","57195069483;6602089946;35214685000;23985059600;","Neural representations of others’ traits predict social decisions",2022,"Proceedings of the National Academy of Sciences of the United States of America","119","22","e2116944119","","",,,"10.1073/pnas.2116944119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130467683&doi=10.1073%2fpnas.2116944119&partnerID=40&md5=7ae6d9d285adfcf06f2adcd89bf284d6","Department of Psychology, University of Pennsylvania, Philadelphia, PA  19104, United States; Haas School of Business, Helen Wills Neuroscience Institute, University of California, Berkeley, CA  94720, United States","Kobayashi, K., Department of Psychology, University of Pennsylvania, Philadelphia, PA  19104, United States; Kable, J.W., Department of Psychology, University of Pennsylvania, Philadelphia, PA  19104, United States; Hsu, M., Haas School of Business, Helen Wills Neuroscience Institute, University of California, Berkeley, CA  94720, United States; Jenkins, A.C., Department of Psychology, University of Pennsylvania, Philadelphia, PA  19104, United States","fMRI; inequity aversion; representational similarity analysis; social perception; stereotypes","adult; article; aversion; controlled study; decision making; dissociation; female; functional magnetic resonance imaging; heat; human; human experiment; lateral orbitofrontal cortex; male; mentalization; perception; stereotypy; superior temporal sulcus; temporoparietal junction; brain; diagnostic imaging; nuclear magnetic resonance imaging; prefrontal cortex; social behavior; social cognition; Brain; Humans; Magnetic Resonance Imaging; Prefrontal Cortex; Social Behavior; Social Cognition",Article,Scopus,2-s2.0-85130467683
"Jiang S., Wang S., Wan X.","57207773235;57225173684;12766602600;","Metacognition and mentalizing are associated with distinct neural representations of decision uncertainty",2022,"PLoS Biology","20","5","e3001301","","",,1,"10.1371/journal.pbio.3001301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130391499&doi=10.1371%2fjournal.pbio.3001301&partnerID=40&md5=c40303b731435113ad7f9f386c4368ad","State Key Laboratory of Cognitive Neuroscience and Learning and IDG, McGovern Institute for Brain Research, Beijing Normal University, Beijing, China","Jiang, S., State Key Laboratory of Cognitive Neuroscience and Learning and IDG, McGovern Institute for Brain Research, Beijing Normal University, Beijing, China; Wang, S., State Key Laboratory of Cognitive Neuroscience and Learning and IDG, McGovern Institute for Brain Research, Beijing Normal University, Beijing, China; Wan, X., State Key Laboratory of Cognitive Neuroscience and Learning and IDG, McGovern Institute for Brain Research, Beijing Normal University, Beijing, China",,"article; decision making task; dorsal anterior cingulate cortex; dorsomedial prefrontal cortex; functional magnetic resonance imaging; human; human experiment; mental health; mentalization; metacognition; parietal lobe; precuneus; temporoparietal junction; uncertainty; brain mapping; cingulate gyrus; nuclear magnetic resonance imaging; uncertainty; Brain Mapping; Gyrus Cinguli; Magnetic Resonance Imaging; Mentalization; Metacognition; Uncertainty",Article,Scopus,2-s2.0-85130391499
"Schulreich S., Tusche A., Kanske P., Schwabe L.","55710814200;36118368400;16230609600;15751739100;","Altruism under Stress: Cortisol Negatively Predicts Charitable Giving and Neural Value Representations Depending on Mentalizing Capacity",2022,"Journal of Neuroscience","42","16",,"3445","3460",,,"10.1523/JNEUROSCI.1870-21.2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128800910&doi=10.1523%2fJNEUROSCI.1870-21.2022&partnerID=40&md5=b28e3da1bf09995bfcfaabb1a66c1d62","Department of Cognitive Psychology, Faculty of Psychology and Human Movement Science, Universität Hamburg, Hamburg, 20146, Germany; Queen’s Neuroeconomics Laboratory, Departments of Psychology and Economics, Queen’s University, Kingston, ON  K7L 3N6, Canada; Division of the Humanities and Social Sciences, California Institute of Technology, Pasadena, CA  91125, United States; Institute of Clinical Psychology and Behavioral Neuroscience, Faculty of Psychology, Technische Universität Dresden, Dresden, 01187, Germany","Schulreich, S., Department of Cognitive Psychology, Faculty of Psychology and Human Movement Science, Universität Hamburg, Hamburg, 20146, Germany; Tusche, A., Queen’s Neuroeconomics Laboratory, Departments of Psychology and Economics, Queen’s University, Kingston, ON  K7L 3N6, Canada, Division of the Humanities and Social Sciences, California Institute of Technology, Pasadena, CA  91125, United States; Kanske, P., Institute of Clinical Psychology and Behavioral Neuroscience, Faculty of Psychology, Technische Universität Dresden, Dresden, 01187, Germany; Schwabe, L., Department of Cognitive Psychology, Faculty of Psychology and Human Movement Science, Universität Hamburg, Hamburg, 20146, Germany","altruism; cortisol; decision-making; fMRI; social cognition; stress","glucocorticoid; hydrocortisone; stress hormone; hydrocortisone; adult; altruism; Article; Beck Depression Inventory; behavior; body mass; brain region; clinical article; controlled study; decision making; dorsolateral prefrontal cortex; dorsomedial prefrontal cortex; electroencephalogram; female; functional magnetic resonance imaging; human; male; mental health; mental stress; mentalization; multivariate analysis; nerve potential; physiological stress; prosocial behavior; social behavior; social cognition; univariate analysis; altruism; nuclear magnetic resonance imaging; Altruism; Female; Humans; Hydrocortisone; Magnetic Resonance Imaging; Male; Mentalization; Social Behavior",Article,Scopus,2-s2.0-85128800910
