Rank,State,StateGrossDomesticProduct,AbsoluteDomesticMigration,NonFarmPayrollEmployment
1,Arizona,7,3,3
2,Utah,1,13,1
3,Florida,10,1,5
4,Idaho,5,12,2
5,Washington,2,7,10
6,Colorado,9,6,4
7,South Carolina,11,5,7
8,Texas,15,2,6
9,Georgia,6,9,9
10,Tennessee,14,8,8
11,Oregon,8,11,13
12,North Carolina,18,4,12
13,Nevada,19,10,11
14,North Dakota,4,17,21
15,Montana,25,14,15
16,South Dakota,13,22,19
17,Nebraska,12,26,23
18,Delaware,31,15,18
19,California,3,49,14
20,Arkansas,32,20,16
21,Alabama,35,18,20
22,Indiana,26,30,17
23,Minnesota,21,27,28
24,New Hampshire,24,21,33
25,Iowa,20,28,35
26,Maine,27,19,39
27,Kentucky,36,25,24
28,Massachusetts,16,42,29
29,Oklahoma,43,16,30
30,Virginia,34,37,22
31,Ohio,23,44,26
32,Missouri,38,33,25
33,Wisconsin,29,35,32
34,Kansas,22,39,37
35,Michigan,28,45,27
36,New York,17,50,36
37,Maryland,30,41,34
38,Rhode Island,41,29,41
39,Vermont,42,24,46
40,Mississippi,44,38,31
41,Wyoming,49,23,47
42,New Mexico,46,32,43
43,Illinois,33,48,40
44,New Jersey,39,47,38
45,Pennsylvania,37,46,42
46,West Virginia,47,31,48
47,Hawaii,40,36,50
48,Connecticut,45,43,44
49,Alaska,50,34,49
50,Louisiana,48,40,45
